iter	Logloss
0	0.682245863
1	0.6776843593
2	0.6734694345
3	0.6696768941
4	0.6670481912
5	0.6651114805
6	0.663654532
7	0.6618831744
8	0.660070845
9	0.6591445231
10	0.6576921075
11	0.6570515914
12	0.6563975283
13	0.6551343598
14	0.6540638951
15	0.6526289195
16	0.6519168698
17	0.6512318173
18	0.6502292362
19	0.6495727002
20	0.6484551116
21	0.6472221981
22	0.646425001
23	0.6453001586
24	0.6445792755
25	0.6438138843
26	0.6432699898
27	0.6425814569
28	0.6417495694
29	0.6409433875
30	0.6399719439
31	0.6391842105
32	0.6383358109
33	0.6374527267
34	0.6361862708
35	0.6351146216
36	0.6341148326
37	0.632806929
38	0.6314365631
39	0.6304712823
40	0.6293594709
41	0.6284154977
42	0.6272987999
43	0.6261453997
44	0.6253569918
45	0.6245385428
46	0.6238468354
47	0.6230660576
48	0.6222960914
49	0.6213887541
50	0.6204770142
51	0.6195856375
52	0.6187795665
53	0.6176760522
54	0.6165738305
55	0.6159117622
56	0.6148651477
57	0.6141673463
58	0.613036582
59	0.6122238734
60	0.6115146926
61	0.6102675664
62	0.6095670223
63	0.6086979616
64	0.6075985419
65	0.606719487
66	0.6058824529
67	0.6052308654
68	0.6047821987
69	0.6038533328
70	0.6030133463
71	0.6020732978
72	0.6013717106
73	0.6007710839
74	0.5998750333
75	0.5989812097
76	0.5980838413
77	0.5972007767
78	0.5960254277
79	0.5951918876
80	0.5941050564
81	0.5936504111
82	0.5928531387
83	0.5917395003
84	0.5910745693
85	0.5903403159
86	0.5894124387
87	0.5885404439
88	0.5879465508
89	0.5870855984
90	0.586209253
91	0.5854393113
92	0.584712656
93	0.5840792972
94	0.5836074294
95	0.582714815
96	0.5818915648
97	0.5811249549
98	0.580399399
99	0.5796393954
