iter	Passed	Remaining
0	162	16132
1	170	8371
2	181	5878
3	191	4600
4	200	3801
5	209	3277
6	217	2888
7	226	2602
8	235	2379
9	244	2200
10	253	2050
11	261	1918
12	268	1799
13	277	1702
14	285	1617
15	294	1543
16	301	1473
17	309	1411
18	317	1354
19	326	1304
20	334	1259
21	343	1216
22	350	1174
23	359	1137
24	366	1099
25	374	1066
26	382	1033
27	390	1005
28	399	978
29	409	954
30	417	929
31	427	907
32	435	884
33	444	863
34	455	845
35	464	825
36	475	809
37	489	799
38	497	778
39	506	760
40	514	740
41	524	724
42	533	706
43	543	691
44	556	679
45	565	663
46	576	650
47	588	637
48	597	621
49	607	607
50	615	591
51	625	576
52	635	563
53	644	549
54	655	536
55	665	522
56	674	509
57	685	496
58	694	482
59	705	470
60	719	459
61	736	451
62	745	438
63	756	425
64	768	413
65	777	400
66	789	388
67	801	377
68	809	363
69	820	351
70	829	338
71	838	326
72	848	313
73	857	301
74	868	289
75	876	276
76	886	264
77	895	252
78	905	240
79	915	228
80	924	216
81	935	205
82	944	193
83	955	181
84	966	170
85	976	158
86	988	147
87	999	136
88	1008	124
89	1019	113
90	1032	102
91	1042	90
92	1053	79
93	1066	68
94	1075	56
95	1085	45
96	1096	33
97	1115	22
98	1129	11
99	1171	0
